#      密度kg/m3                 弹模GPa                 转速r/min         
8.100745182336252583e+03 1.661936406243517581e+02 1.932699038069114249e+04
8.464195006132673370e+03 1.718102187267110708e+02 1.797426310796387043e+04
8.053163777048571319e+03 1.664618752353616458e+02 1.810953583523659836e+04
8.368610999440701562e+03 1.674154588061699371e+02 1.824480856250932629e+04
8.411363352957450843e+03 1.666065432068112102e+02 1.838008128978205059e+04
7.938512327500495303e+03 1.654125359663036363e+02 1.859582107465358786e+04
8.442210010292499646e+03 1.685738885510897376e+02 1.873109380192631579e+04
8.044704097041763816e+03 1.629688996026672498e+02 1.886636652919904373e+04
8.118294145682313683e+03 1.679622548678388796e+02 1.900163925647177166e+04
8.271256918934655914e+03 1.735245497152608323e+02 1.913691198374449959e+04
8.388002412484185697e+03 1.722393430965443031e+02 1.927218471101722389e+04
8.298075963864132063e+03 1.678561723299399944e+02 1.791945743828995182e+04
8.358003236591404857e+03 1.645130750989233945e+02 1.805473016556267976e+04
8.507856957938731284e+03 1.641629068431748522e+02 1.819000289283540769e+04
8.148293321575094524e+03 1.681785296443779316e+02 1.832527562010813563e+04
8.537785054773223237e+03 1.678283613886293892e+02 1.846054834738086356e+04
7.911693282571018244e+03 1.721227283651868731e+02 1.867055566652725611e+04
8.016645030781490277e+03 1.683334335490312696e+02 1.880582839379998404e+04
8.031547828025563831e+03 1.669229459994383546e+02 1.894110112107271198e+04
8.151402373480109418e+03 1.742876205534688268e+02 1.907637384834543627e+04
8.404267733405400577e+03 1.647918192742777705e+02 1.921164657561816421e+04
8.136499576236035864e+03 1.691840730496570586e+02 1.785891930289089214e+04
8.280527000518071873e+03 1.686372769879881162e+02 1.799419203016362007e+04
8.331184191661928708e+03 1.653847250249930312e+02 1.812946475743634801e+04
8.567784230666004078e+03 1.727156341159021338e+02 1.826473748470907594e+04
8.451038737116474294e+03 1.669567114625597526e+02 1.840001021198180024e+04
8.308683726713428769e+03 1.689055115989980038e+02 1.853528293925452817e+04
7.924849551587218230e+03 1.693665823630747127e+02 1.882675357795672244e+04
8.091475100752836624e+03 1.655186185042025215e+02 1.896202630522945037e+04
8.040817909608979789e+03 1.710175249147260956e+02 1.909729903250217831e+04
8.328075139756912904e+03 1.705884005448928917e+02 1.923257175977490260e+04
7.984776824314491023e+03 1.709009101833686941e+02 1.787984448704763054e+04
8.220599727790799079e+03 1.652400570535434667e+02 1.801511721432035847e+04
8.284413187950854990e+03 1.698590951698062952e+02 1.815038994159308641e+04
8.340454273245344666e+03 1.714938159340839547e+02 1.828566266886581434e+04
8.076572303508763071e+03 1.700480968331575014e+02 1.842093539613854227e+04
8.460308818699890253e+03 1.706221660080142897e+02 1.855620812341126657e+04
8.488465544895247149e+03 1.690501795704475683e+02 1.869148085068399450e+04
7.949120090349791099e+03 1.715216268753945315e+02 1.897079852443451819e+04
7.980890636881706996e+03 1.635700010924595915e+02 1.910607125170724612e+04
8.058366872955040890e+03 1.697957067329079166e+02 1.924134397897997405e+04
8.412727413412208989e+03 1.663826422877029358e+02 1.788861670625270199e+04
8.164558642496309403e+03 1.704058912314752376e+02 1.802388943352542992e+04
8.224485915223582197e+03 1.739652632390308895e+02 1.815916216079815422e+04
8.256354121690581451e+03 1.639390059240665778e+02 1.829443488807088215e+04
8.291508807502905256e+03 1.694003478261961106e+02 1.842970761534361009e+04
8.400381545972617459e+03 1.630749821405661351e+02 1.856498034261633802e+04
7.991872443866541289e+03 1.673520703692715585e+02 1.870025306988906596e+04
8.524122278859946164e+03 1.712699150149756804e+02 1.883552579716179389e+04
7.956717758054217484e+03 1.622243426399403745e+02 1.916085669114703705e+04
8.009047363077063892e+03 1.728495275951115957e+02 1.929612941841976499e+04
8.436135939872399831e+03 1.744425244581221648e+02 1.794340214569249292e+04
8.111726989321086876e+03 1.746829794601806611e+02 1.807867487296521722e+04
8.188829181258882272e+03 1.719988880944858067e+02 1.821394760023794515e+04
8.248756453986155975e+03 1.716277094132934167e+02 1.834922032751067309e+04
8.510966009843747088e+03 1.730320369085292498e+02 1.848449305478340102e+04
8.426882156595829656e+03 1.710809133516244742e+02 1.861976578205612896e+04
8.532581958866754576e+03 1.632574914539837891e+02 1.875503850932885325e+04
8.316281394417854244e+03 1.727434450572127105e+02 1.889031123660158119e+04
8.548392817622519942e+03 1.690779905117581734e+02 1.902558396387430912e+04
7.931945171139268496e+03 1.737927843262707484e+02 1.925736079010474714e+04
8.082646373928861976e+03 1.723027315334426532e+02 1.790463351737747507e+04
8.051799716593814082e+03 1.730658023716506477e+02 1.803990624465020301e+04
7.998439600227768096e+03 1.620356732721656101e+02 1.817517897192293094e+04
8.171654262048359669e+03 1.724917331967938594e+02 1.831045169919565888e+04
8.376208667145127038e+03 1.740713457769297747e+02 1.844572442646838317e+04
8.231581534775632463e+03 1.737135513786120384e+02 1.858099715374111111e+04
8.352800140684936196e+03 1.734611612783624821e+02 1.871626988101383904e+04
8.417930509318677650e+03 1.745663647288232312e+02 1.885154260828656697e+04
8.382282737565226853e+03 1.627171877422483988e+02 1.898681533555929491e+04
8.531217898411996430e+03 1.739374522977203128e+02 1.912208806283202284e+04
